source_group,clean_name,occurrences,sample_raw_name,suggested_category,suggested_country_code,suggested_country_name,suggested_logo_url,match_reason,match_score,matched_id,matched_name,matched_country,matched_country_name,matched_categories,matched_website,override_category,override_country_code,override_logo_url,override_tvg_id,override_matched_name,override_matched_country,override_website,notes
Albania,RTV 21,4,RTV 21 .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ALSAT M,3,ALSAT M .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ART KINO 2,3,ART KINO 2 .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ART SPORT 1,3,ART SPORT 1 .c,Spor,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ART SPORT 2,3,ART SPORT 2 .c,Spor,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ART SPORT 3,3,ART SPORT 3 .c,Spor,AL,Albania,,,,,,,,,,,,,,,,,
Albania,BABY TV,3,BABY TV .b,Cocuk,AL,Albania,,,,,,,,,,,,,,,,,
Albania,DISCOVERY CHANNEL,3,DISCOVERY CHANNEL .b,Belgesel,AL,Albania,,,,,,,,,,,,,,,,,
Albania,EUROSPORT 1,3,EUROSPORT 1 .b,Spor,AL,Albania,,,,,,,,,,,,,,,,,
Albania,EUROSPORT 2,3,EUROSPORT 2 .b,Spor,AL,Albania,,,,,,,,,,,,,,,,,
Albania,FOX LIFE,3,FOX LIFE .b,Film,AL,Albania,,,,,,,,,,,,,,,,,
Albania,KTV,3,KTV .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,PEACE TV,3,PEACE TV .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,RTK 1,3,RTK 1 .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,RTK 2,3,RTK 2 .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,RTK 3,3,RTK 3 .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,RTK 4,3,RTK 4 .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,RTV 21 JUNIOR,3,RTV 21 JUNIOR .b,Cocuk,AL,Albania,,,,,,,,,,,,,,,,,
Albania,RTV 21 MIX,3,RTV 21 MIX .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,RTV 21 PLUS,3,RTV 21 PLUS .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,SKY KOMEDI,3,SKY KOMEDI .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,SKY MAX,3,SKY MAX .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,T7,3,T7 .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,TV MITROVICA,3,TV MITROVICA .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,24 KITCHEN,2,24 KITCHEN .c,Yasam,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ALBUK,2,ALBUK .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,AMOL TV,2,AMOL TV .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ART KINO 1,2,ART KINO 1 .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ATV,2,ATV .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,BESA TV,2,BESA TV .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,BIG BROTHER 1,2,BIG BROTHER 1 .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,BIG BROTHER 2,2,BIG BROTHER 2 .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,BOOMERANG,2,BOOMERANG .c,Cocuk,AL,Albania,,,,,,,,,,,,,,,,,
Albania,DARK NETFLIX 2,2,DARK NETFLIX 2 .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,DARK PRIME 1,2,DARK PRIME 1 .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,DARK PRIME 3,2,DARK PRIME 3 .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,DARK SPECIAL,2,DARK SPECIAL .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,DASMA,2,DASMA .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,DUCK TV,2,DUCK TV .c,Cocuk,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ERA TV,2,ERA TV .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,EUROFILM,2,EUROFILM .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,FAMILY,2,FAMILY .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,FILM GOLD,2,FILM GOLD .c,Film,AL,Albania,,,,,,,,,,,,,,,,,
Albania,HUMOR TV,2,HUMOR TV .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ISTOGU CHANNEL,2,ISTOGU CHANNEL .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,JOLLY,2,JOLLY .s,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,KANAL 10,2,KANAL 10 .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,KANAL D DRAMA,2,KANAL D DRAMA .c,Film,AL,Albania,https://i.ibb.co/7ykfjhL/unnamed-removebg.png,iptv-org-exact,1.100,KanalDDrama.al,Kanal D Drama,AL,Albania,,,,,,,,,,
Albania,KIDS,2,KIDS .b,Cocuk,AL,Albania,,,,,,,,,,,,,,,,,
Albania,LIRIA,2,LIRIA .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,MTV KOSOVA,2,MTV KOSOVA .c,Muzik,AL,Albania,,,,,,,,,,,,,,,,,
Albania,NAT GEO,2,NAT GEO .c,Belgesel,AL,Albania,,,,,,,,,,,,,,,,,
Albania,PRO 1,2,PRO 1 .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ROMA TV,2,ROMA TV .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,RROKUM TV,2,RROKUM TV .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,SHOTA TV,2,SHOTA TV .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,SKY AKSION,2,SKY AKSION .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,SOFIA,2,SOFIA .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,T,2,T .s,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,TELE ONE 2,2,TELE ONE 2 .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,TELE ONE 3,2,TELE ONE 3 .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,TELE ONE 4,2,TELE ONE 4 .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,TELE ONE 5,2,TELE ONE 5 .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,TRAVEL CHANNEL,2,TRAVEL CHANNEL .c,Belgesel,AL,Albania,,,,,,,,,,,,,,,,,
Albania,TURBO CHANNEL,2,TURBO CHANNEL .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,TV KOHA,2,TV KOHA .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,21 POPULLORE,1,21 POPULLORE .s,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,4 PLUS SHQIP,1,4+SHQIP .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,7 NEWS,1,7 NEWS .s,Haber,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ABC,1,ABC .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ABC STORY,1,ABC STORY .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ALB ISLAM,1,ALB ISLAM .b,Dini,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ALB SWISS,1,ALB SWISS HD .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ALBKANALE MUZIK,1,ALBKANALE MUZIK .c,Muzik,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ALSAT,1,ALSAT .s,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ARABIYA,1,ARABIYA (FHD) .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ARABIYA AL HADATH NOT 24 7,1,ARABIYA AL HADATH (FHD) [NOT 24/7] .b,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ART DOKU 1,1,ART DOKU 1 .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ART DOKU 2,1,ART DOKU 2 .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ART KINO 3,1,ART KINO 3 .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
Albania,ART KINO 4,1,ART KINO 4 .c,Ulusal,AL,Albania,,,,,,,,,,,,,,,,,
