source_group,clean_name,occurrences,sample_raw_name,suggested_category,suggested_country_code,suggested_country_name,suggested_logo_url,match_reason,match_score,matched_id,matched_name,matched_country,matched_country_name,matched_categories,matched_website,override_category,override_country_code,override_logo_url,override_tvg_id,override_matched_name,override_matched_country,override_website,notes
Arabia,BEIN PREMUIM2,3,BEIN PREMUIM2 FHD .b,Ulusal,,Arabia,,,,,,,,,,,,,,,,,
Arabia,AL ARABIYA NEWS,2,AL ARABIYA NEWS FHD .b,Haber,,Arabia,,,,,,,,,,,,,,,,,
Arabia,AL JAZEERA DOC,2,AL JAZEERA DOC .b,Haber,,Arabia,,,,,,,,,,,,,,,,,
Arabia,BEIN AFC2,2,BEIN AFC2 HD .b,Ulusal,,Arabia,,,,,,,,,,,,,,,,,
Arabia,BEIN AFC3,2,BEIN AFC3 HD .b,Ulusal,,Arabia,,,,,,,,,,,,,,,,,
Arabia,BEIN PREMUIM1,2,BEIN PREMUIM1 FHD .b,Ulusal,,Arabia,,,,,,,,,,,,,,,,,
Arabia,BEIN PREMUIM3,2,BEIN PREMUIM3 HD .b,Ulusal,,Arabia,,,,,,,,,,,,,,,,,
Arabia,BEIN SPORTS 1 PREMIUM,2,BEIN SPORTS 1 PREMIUM HEVC .b,Spor,,Arabia,,,,,,,,,,,,,,,,,
Arabia,BEIN SPORTS 10,2,BEIN SPORTS 10 .b,Spor,,Arabia,,,,,,,,,,,,,,,,,
Arabia,BEIN SPORTS 2 BACKUP,2,BEIN SPORTS 2 (BACKUP) .b,Spor,,Arabia,,,,,,,,,,,,,,,,,
Arabia,BEIN SPORTS 2 PREMIUM,2,BEIN SPORTS 2 PREMIUM HEVC .b,Spor,,Arabia,,,,,,,,,,,,,,,,,
Arabia,CABLE IMAGEN ARMSTRONG,2,CABLE IMAGEN ARMSTRONG .b,Ulusal,AR,Argentina,https://i.imgur.com/U9NuJQC.png,iptv-org-exact,1.100,CableImagenArmstrong.ar,Cable Imagen Armstrong,AR,Argentina,,https://cablearmstrong.com.ar/,,,,,,,,
Arabia,CANAL 11 DE LA COSTA,2,CANAL 11 DE LA COSTA .b,Ulusal,AR,Argentina,https://i.imgur.com/yYExcq1.jpg,iptv-org-exact,1.100,Canal11delaCosta.ar,Canal 11 de la Costa,AR,Argentina,,https://canal11delacosta.com.ar/,,,,,,,,
Arabia,CANAL 12 PUERTO MADRYN,2,CANAL 12 PUERTO MADRYN .b,Ulusal,,Arabia,,,,,,,,,,,,,,,,,
Arabia,CANAL 13 LA RIOJA,2,CANAL 13 LA RIOJA .b,Ulusal,AR,Argentina,https://i.imgur.com/OI97Sgq.png,iptv-org-exact,1.100,Canal13LaRioja.ar,Canal 13 La Rioja,AR,Argentina,,,,,,,,,,
Arabia,CANAL 2 MISIONES,2,CANAL 2 MISIONES .b,Ulusal,AR,Argentina,https://i.imgur.com/YqTNXDf.png,iptv-org-exact,1.100,Canal2Misiones.ar,Canal 2 Misiones,AR,Argentina,,https://www.canal2misiones.com.ar/,,,,,,,,
