source_group,clean_name,occurrences,sample_raw_name,suggested_category,suggested_country_code,suggested_country_name,suggested_logo_url,match_reason,match_score,matched_id,matched_name,matched_country,matched_country_name,matched_categories,matched_website,override_category,override_country_code,override_logo_url,override_tvg_id,override_matched_name,override_matched_country,override_website,notes
Balkans,CINEMAX 2,3,CINEMAX 2 .c,Film,,Balkans,,,,,,,,,,,,,,,,,
Balkans,HBO,3,HBO .c,Film,BR,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Logohboplus2019.svg/960px-Logohboplus2019.svg.png,iptv-org-exact,1.100,HBOPlus.br,HBO+,BR,Brazil,,https://www.hbobrasil.com/,,,,,,,,
Balkans,HBO 3,3,HBO 3 .c,Film,PL,Poland,https://i.imgur.com/3QIHh2V.png,iptv-org-exact,1.100,HBO3.pl,HBO 3,PL,Poland,,http://www.hbo.pl/HBOComedy.aspx,,,,,,,,
Balkans,TLC,3,TLC .b,Yasam,FR,France,https://i.imgur.com/UdLeLar.jpg,iptv-org-exact,1.100,TelevisionLocaleduCholetais.fr,Television Locale du Choletais,FR,France,general,http://www.tlc-cholet.fr/,,,,,,,,
Balkans,CINEMAX 1,2,CINEMAX 1 .s,Film,,Balkans,,,,,,,,,,,,,,,,,
Balkans,PINK 1,2,PINK 1 .b,Ulusal,RS,Serbia,https://i.imgur.com/A3D1RZP.png,iptv-org-fuzzy,0.929,PinkPlus.rs,Pink Plus,RS,Serbia,,http://www.rtvpink.com/pinkplus/,,,,,,,,
Balkans,PINK 2,2,PINK 2 .b,Ulusal,RS,Serbia,https://i.imgur.com/A3D1RZP.png,iptv-org-fuzzy,0.929,PinkPlus.rs,Pink Plus,RS,Serbia,,http://www.rtvpink.com/pinkplus/,,,,,,,,
Balkans,PINK 3,2,PINK 3 .b,Ulusal,SI,Slovenia,https://i.imgur.com/PIObSVc.png,iptv-org-exact,1.100,TV3.si,TV3,SI,Slovenia,,https://tv3m.si/,,,,,,,,
Balkans,PINK BH,2,PINK BH .c,Ulusal,BA,Bosnia and Herzegovina,https://i.imgur.com/9gwqTbC.png,iptv-org-exact,1.100,PinkBH.ba,Pink BH,BA,Bosnia and Herzegovina,,http://www.pink.rs/,,,,,,,,
Balkans,PINK HAHA,2,PINK HAHA .b,Ulusal,,Balkans,,,,,,,,,,,,,,,,,
Balkans,PINK PEDIA,2,PINK PEDIA .b,Cocuk,RS,Serbia,https://i.imgur.com/kIzk8Vy.png,iptv-org-exact,1.100,PinkPedia.rs,Pink Pedia,RS,Serbia,,http://www.rtvpink.co.rs/,,,,,,,,
Balkans,PINK PREMIUM,2,PINK PREMIUM .b,Ulusal,RS,Serbia,https://i.imgur.com/DNxGa9q.png,iptv-org-exact,1.100,PinkPremium.rs,Pink Premium,RS,Serbia,,http://www.rtvpink.co.rs/,,,,,,,,
Balkans,PINK ROMANCE,2,PINK ROMANCE .b,Film,RS,Serbia,https://i.imgur.com/eu5Wffg.png,iptv-org-exact,1.100,PinkRomance.rs,Pink Romance,RS,Serbia,,http://www.rtvpink.co.rs/,,,,,,,,
Balkans,PINK SOAP,2,PINK SOAP .b,Ulusal,RS,Serbia,https://i.imgur.com/SZqIj40.png,iptv-org-exact,1.100,PinkSoap.rs,Pink Soap,RS,Serbia,,http://www.rtvpink.co.rs/,,,,,,,,
Balkans,PINK THRILLER,2,PINK THRILLER .b,Film,RS,Serbia,https://i.imgur.com/nuD0Klf.png,iptv-org-exact,1.100,PinkThriller.rs,Pink Thriller,RS,Serbia,,http://www.rtvpink.co.rs/,,,,,,,,
Balkans,RTL KOCKICA,2,RTL KOCKICA .c,Ulusal,HR,Croatia,https://i.imgur.com/C7H5bJs.png,iptv-org-exact,1.100,RTLKockica.hr,RTL Kockica,HR,Croatia,,https://www.rtl.hr/,,,,,,,,
Balkans,RTL LIVING,2,RTL LIVING .c,Yasam,DE,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/RTL_Living_Logo_2021.svg/960px-RTL_Living_Logo_2021.svg.png,iptv-org-exact,1.100,RTLLiving.de,RTL Living,DE,Germany,,https://www.rtl-living.de/,,,,,,,,
