source_group,clean_name,occurrences,sample_raw_name,suggested_category,suggested_country_code,suggested_country_name,suggested_logo_url,match_reason,match_score,matched_id,matched_name,matched_country,matched_country_name,matched_categories,matched_website,override_category,override_country_code,override_logo_url,override_tvg_id,override_matched_name,override_matched_country,override_website,notes
Bulgaria,24 KITCHEN,2,24 KITCHEN .c,Yasam,BG,Bulgaria,,,,,,,,,,,,,,,,,
Bulgaria,AMC,2,AMC .c,Film,BG,Bulgaria,,,,,,,,,,,,,,,,,
Bulgaria,AUTO MOTOR SPORT,2,AUTO MOTOR SPORT .c,Spor,BG,Bulgaria,,,,,,,,,,,,,,,,,
Bulgaria,BABY TV,2,BABY TV .c,Cocuk,BG,Bulgaria,,,,,,,,,,,,,,,,,
Bulgaria,CINEMAX,2,CINEMAX .c,Film,BG,Bulgaria,,,,,,,,,,,,,,,,,
Bulgaria,CINEMAX 2,2,CINEMAX 2 .c,Film,BG,Bulgaria,,,,,,,,,,,,,,,,,
Bulgaria,DUCK TV,2,DUCK TV .c,Cocuk,BG,Bulgaria,,,,,,,,,,,,,,,,,
Bulgaria,EVROKOM,2,EVROKOM .c,Ulusal,BG,Bulgaria,,,,,,,,,,,,,,,,,
Bulgaria,FILM PLUS,2,FILM PLUS .c,Film,BG,Bulgaria,,,,,,,,,,,,,,,,,
Bulgaria,HBO,2,HBO .c,Film,BG,Bulgaria,,,,,,,,,,,,,,,,,
Bulgaria,HBO 2,2,HBO 2 .c,Film,BG,Bulgaria,,,,,,,,,,,,,,,,,
Bulgaria,NAT GEO,2,NAT GEO .c,Belgesel,BG,Bulgaria,,,,,,,,,,,,,,,,,
Bulgaria,RING,2,RING .c,Ulusal,BG,Bulgaria,https://i.imgur.com/9GraHlr.png,iptv-org-exact,1.100,RingTV.be,Ring TV,BE,Belgium,,https://www.ringtv.be/,,,,,,,,
Bulgaria,TLC,2,TLC .c,Yasam,BG,Bulgaria,https://i.imgur.com/UdLeLar.jpg,iptv-org-exact,1.100,TelevisionLocaleduCholetais.fr,Television Locale du Choletais,FR,France,general,http://www.tlc-cholet.fr/,,,,,,,,
