source_group,clean_name,occurrences,sample_raw_name,suggested_category,suggested_country_code,suggested_country_name,suggested_logo_url,match_reason,match_score,matched_id,matched_name,matched_country,matched_country_name,matched_categories,matched_website,override_category,override_country_code,override_logo_url,override_tvg_id,override_matched_name,override_matched_country,override_website,notes
France,TV BREIZH,6,TV BREIZH .b,Ulusal,FR,France,https://i.imgur.com/O8W4yhn.png,iptv-org-exact,1.100,TVBreizh.fr,TV Breizh,FR,France,,https://www.tvbreizh.fr/,,,,,,,,
France,PIWI PLUS,5,PIWI+ .b,Ulusal,FR,France,https://i.imgur.com/Ahckjj2.png,iptv-org-exact,1.100,PiwiPlus.fr,Piwi+,FR,France,,http://www.piwi.tv/,,,,,,,,
France,SERIE CLUB,5,SERIE CLUB .b,Ulusal,FR,France,https://i.imgur.com/V8wRRg5.png,iptv-org-exact,1.100,SerieClub.fr,Serie Club,FR,France,,https://pro.m6.fr/serieclub/,,,,,,,,
France,CANAL PLUS,4,CANAL+ .c,Eglence,FR,France,,iptv-org-exact,1.100,MovistarPlusPlus.es,Movistar Plus+,ES,Spain,entertainment,https://www.movistarplus.es/,,,,,,,,
France,CANAL PLUS CINEMA,4,CANAL+ CINEMA .c,Film,FR,France,,,,,,,,,,,,,,,,,
France,PLANETE PLUS,4,PLANETE+ .c,Ulusal,FR,France,https://i.imgur.com/RMbMGMg.png,iptv-org-exact,1.100,PlanetePlus.fr,Planete+,FR,France,,http://planeteplus.com/,,,,,,,,
France,POLAR PLUS,4,POLAR+ .c,Ulusal,FR,France,https://i.imgur.com/RjnuWFU.png,iptv-org-exact,1.100,PolarPlus.fr,Polar+,FR,France,,,,,,,,,,
France,BET,3,BET .b,Ulusal,FR,France,https://i.imgur.com/KG3CzsF.png,iptv-org-exact,1.100,BET.ca,BET,CA,Canada,,http://www.bet.com/,,,,,,,,
France,C8,3,C8 .c,Ulusal,FR,France,https://i.imgur.com/sJw1HtY.png,iptv-org-exact,1.100,C8.cz,C8,CZ,Czech Republic,,,,,,,,,,
France,DAZN LIGUE 1 LIVE 1,3,DAZN LIGUE 1 LIVE 1 FHD .b,Spor,FR,France,,,,,,,,,,,,,,,,,
France,DAZN LIGUE 1 LIVE 2,3,DAZN LIGUE 1 LIVE 2 FHD .b,Spor,FR,France,,,,,,,,,,,,,,,,,
France,DAZN LIGUE 1 LIVE 3,3,DAZN LIGUE 1 LIVE 3 FHD .b,Spor,FR,France,,,,,,,,,,,,,,,,,
France,DAZN LIGUE 1 LIVE 4,3,DAZN LIGUE 1 LIVE 4 FHD .b,Spor,FR,France,,,,,,,,,,,,,,,,,
France,DAZN LIGUE 1 LIVE 5,3,DAZN LIGUE 1 LIVE 5 FHD .b,Spor,FR,France,,,,,,,,,,,,,,,,,
France,DAZN LIGUE 1 LIVE 6,3,DAZN LIGUE 1 LIVE 6 FHD .b,Spor,FR,France,,,,,,,,,,,,,,,,,
France,DAZN LIGUE 1 LIVE 7,3,DAZN LIGUE 1 LIVE 7 FHD .b,Spor,FR,France,,,,,,,,,,,,,,,,,
France,DAZN LIGUE 1 LIVE 8,3,DAZN LIGUE 1 LIVE 8 FHD .b,Spor,FR,France,,,,,,,,,,,,,,,,,
France,GAME ONE,3,GAME ONE .b,Ulusal,FR,France,https://i.imgur.com/sJw1HtY.png,iptv-org-exact,1.100,C8.hu,C8,HU,Hungary,,http://www.c8tv.hu/,,,,,,,,
France,NAT GEO,3,NAT GEO .c,Belgesel,FR,France,,,,,,,,,,,,,,,,,
France,RFM TV,3,RFM TV .c,Ulusal,FR,France,https://i.imgur.com/QeLdzTC.png,iptv-org-exact,1.100,RFM.sn,RFM,SN,Senegal,,,,,,,,,,
France,RTL 9,3,RTL 9 .b,Ulusal,FR,France,,,,,,,,,,,,,,,,,
France,SYFY,3,SYFY .b,Film,FR,France,https://d2n0069hmnqmmx.cloudfront.net/epgdata/1.0/newchanlogos/100/40/skychb2505.png,iptv-org-exact,1.100,SkySciFi.uk,Sky Sci-Fi,UK,United Kingdom,,https://www.sky.com/,,,,,,,,
France,TEVA,3,TEVA .b,Ulusal,FR,France,https://i.imgur.com/kDW0hN5.png,iptv-org-exact,1.100,Teva.fr,Teva,FR,France,,https://www.6play.fr/teva,,,,,,,,
France,TFX,3,TFX .b,Ulusal,FR,France,https://i.imgur.com/d91GcVf.png,iptv-org-exact,1.100,TFX.fr,TFX,FR,France,,https://www.tf1.fr/tfx,,,,,,,,
France,TOUTE L HISTOIRE,3,TOUTE L HISTOIRE .s,Ulusal,FR,France,https://i.imgur.com/xRfyQYn.png,iptv-org-exact,1.100,ToutelHistoire.fr,Toute l'Histoire,FR,France,,http://www.toutelhistoire.com/,,,,,,,,
France,USHUAIA,3,USHUAIA .s,Ulusal,FR,France,https://i.imgur.com/WjjlqbP.png,iptv-org-exact,1.100,UshuaiaTV.fr,Ushuaia TV,FR,France,,https://www.ushuaiatv.fr/,,,,,,,,
France,A LA CARTE 1,2,A LA CARTE 1 HD .b,Ulusal,FR,France,,,,,,,,,,,,,,,,,
France,A LA CARTE 3,2,A LA CARTE 3 HD .b,Ulusal,FR,France,,,,,,,,,,,,,,,,,
France,A LA CARTE 5,2,A LA CARTE 5 HD .b,Ulusal,FR,France,,,,,,,,,,,,,,,,,
France,A LA CARTE 6,2,A LA CARTE 6 HD .b,Ulusal,FR,France,,,,,,,,,,,,,,,,,
France,A LA CARTE 7,2,A LA CARTE 7 HD .b,Ulusal,FR,France,,,,,,,,,,,,,,,,,
France,A LA CARTE 8,2,A LA CARTE 8 HD .b,Ulusal,FR,France,,,,,,,,,,,,,,,,,
France,A LA CARTE 9,2,A LA CARTE 9 HD .b,Ulusal,FR,France,,,,,,,,,,,,,,,,,
France,AB 3,2,AB 3 .c,Ulusal,FR,France,,,,,,,,,,,,,,,,,
France,AMAZON PRIME 6,2,AMAZON PRIME 6 .c,Ulusal,FR,France,,,,,,,,,,,,,,,,,
France,AMAZON PRIME 8,2,AMAZON PRIME 8 .c,Ulusal,FR,France,,,,,,,,,,,,,,,,,
France,BABY TV,2,BABY TV .c,Cocuk,FR,France,,,,,,,,,,,,,,,,,
France,BEIN SPORTS MAX 4 EVENT ONLY,2,BEIN SPORTS MAX 4 FHD (EVENT ONLY) .s,Spor,FR,France,,,,,,,,,,,,,,,,,
