source_group,clean_name,occurrences,sample_raw_name,suggested_category,suggested_country_code,suggested_country_name,suggested_logo_url,match_reason,match_score,matched_id,matched_name,matched_country,matched_country_name,matched_categories,matched_website,override_category,override_country_code,override_logo_url,override_tvg_id,override_matched_name,override_matched_country,override_website,notes
Germany,DAZN 2,5,DAZN 2 .c,Spor,DE,Germany,,,,,,,,,,,,,,,,,
Germany,SKY SELECT 2,5,SKY SELECT 2 .b,Ulusal,DE,Germany,,,,,,,,,,,,,,,,,
Germany,SKY SELECT 4,5,SKY SELECT 4 .b,Ulusal,DE,Germany,,,,,,,,,,,,,,,,,
Germany,SKY SELECT 5,5,SKY SELECT 5 .b,Ulusal,DE,Germany,,,,,,,,,,,,,,,,,
Germany,SKY SELECT 6,5,SKY SELECT 6 .b,Ulusal,DE,Germany,,,,,,,,,,,,,,,,,
Germany,SKY SELECT 8,5,SKY SELECT 8 .b,Ulusal,DE,Germany,,,,,,,,,,,,,,,,,
Germany,DAZN 1,4,DAZN 1 .c,Spor,DE,Germany,,,,,,,,,,,,,,,,,
Germany,NAT GEO,4,NAT GEO .b,Belgesel,DE,Germany,,,,,,,,,,,,,,,,,
Germany,RTL,4,RTL .c,Ulusal,DE,Germany,https://i.imgur.com/94K94k2.png,iptv-org-exact,1.100,RTL.de,RTL,DE,Germany,,https://www.rtl.de/,,,,,,,,
Germany,RTL LIVING,4,RTL LIVING .b,Yasam,DE,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/RTL_Living_Logo_2021.svg/960px-RTL_Living_Logo_2021.svg.png,iptv-org-exact,1.100,RTLLiving.de,RTL Living,DE,Germany,,https://www.rtl-living.de/,,,,,,,,
Germany,RTL PASSION,4,RTL PASSION .b,Ulusal,DE,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/RTL_Passion_Logo_2021.svg/960px-RTL_Passion_Logo_2021.svg.png,iptv-org-exact,1.100,RTLPassion.de,RTL Passion,DE,Germany,,http://www.rtlpassion.de/,,,,,,,,
Germany,SKY CINEMA PREMIEREN PLUS 24,4,SKY CINEMA PREMIEREN +24 .b,Film,DE,Germany,,,,,,,,,,,,,,,,,
Germany,SKY SELECT 1,4,SKY SELECT 1 .c,Ulusal,DE,Germany,,,,,,,,,,,,,,,,,
Germany,SKY SELECT 3,4,SKY SELECT 3 .b,Ulusal,DE,Germany,,,,,,,,,,,,,,,,,
Germany,SKY SELECT 7,4,SKY SELECT 7 .b,Ulusal,DE,Germany,,,,,,,,,,,,,,,,,
Germany,SKY SELECT 9,4,SKY SELECT 9 .b,Ulusal,DE,Germany,,,,,,,,,,,,,,,,,
Germany,SKY SPORT NEWS,4,SKY SPORT NEWS .b,Haber,DE,Germany,https://upload.wikimedia.org/wikipedia/de/thumb/c/cc/Sky_Sport_News_2020.svg/960px-Sky_Sport_News_2020.svg.png,iptv-org-exact,1.100,SkySportNews.de,Sky Sport News,DE,Germany,sports,https://sport.sky.de/,,,,,,,,
Germany,AUTO MOTOR SPORT,3,AUTO MOTOR SPORT .c,Spor,DE,Germany,,,,,,,,,,,,,,,,,
Germany,DAZN BAR 1,3,DAZN BAR 1 [] .c,Spor,DE,Germany,,,,,,,,,,,,,,,,,
Germany,EUROSPORT 2,3,EUROSPORT 2 .c,Spor,DE,Germany,,,,,,,,,,,,,,,,,
