source_group,clean_name,occurrences,sample_raw_name,suggested_category,suggested_country_code,suggested_country_name,suggested_logo_url,match_reason,match_score,matched_id,matched_name,matched_country,matched_country_name,matched_categories,matched_website,override_category,override_country_code,override_logo_url,override_tvg_id,override_matched_name,override_matched_country,override_website,notes
Italy,BABY TV,2,BABY TV .c,Cocuk,IT,Italy,,,,,,,,,,,,,,,,,
Italy,BLOOMBERG TV,2,BLOOMBERG TV .s,Haber,IT,Italy,,,,,,,,,,,,,,,,,
Italy,CANALE 8,2,CANALE 8 .c,Ulusal,IT,Italy,https://i.imgur.com/xwYmFgj.png,iptv-org-exact,1.100,Canale8.it,Canale 8,IT,Italy,,,,,,,,,,
Italy,DISCOVERY CHANNEL,2,DISCOVERY CHANNEL .c,Belgesel,IT,Italy,https://i.imgur.com/bZpe8af.png,iptv-org-exact,1.100,Discovery.de,Discovery,DE,Germany,entertainment,,,,,,,,,
Italy,EUROSPORT 1,2,EUROSPORT 1 .c,Spor,IT,Italy,,,,,,,,,,,,,,,,,
Italy,EUROSPORT 2,2,EUROSPORT 2 .c,Spor,IT,Italy,,,,,,,,,,,,,,,,,
Italy,NAT GEO,2,NAT GEO .c,Belgesel,IT,Italy,,,,,,,,,,,,,,,,,
Italy,PRIMA TV,2,PRIMA TV .c,Ulusal,IT,Italy,https://i.imgur.com/KTGdJEy.png,iptv-org-exact,1.100,TVPrima.rs,TV Prima,RS,Serbia,,,,,,,,,,
Italy,RAI 1,2,RAI 1 .c,Ulusal,IT,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Rai_1_-_Logo_2016.svg/960px-Rai_1_-_Logo_2016.svg.png,iptv-org-exact,1.100,Rai1.it,Rai 1,IT,Italy,,https://www.rai.it/rai1/,,,,,,,,
Italy,RAI 2,2,RAI 2 .c,Ulusal,IT,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Rai_2_-_Logo_2016.svg/960px-Rai_2_-_Logo_2016.svg.png,iptv-org-exact,1.100,Rai2.it,Rai 2,IT,Italy,,https://www.rai.it/rai2/,,,,,,,,
