source_group,clean_name,occurrences,sample_raw_name,suggested_category,suggested_country_code,suggested_country_name,suggested_logo_url,match_reason,match_score,matched_id,matched_name,matched_country,matched_country_name,matched_categories,matched_website,override_category,override_country_code,override_logo_url,override_tvg_id,override_matched_name,override_matched_country,override_website,notes
Netherlands,24 KITCHEN,2,24 KITCHEN .c,Yasam,NL,Netherlands,,,,,,,,,,,,,,,,,
Netherlands,BABY TV,2,BABY TV .c,Cocuk,NL,Netherlands,,,,,,,,,,,,,,,,,
Netherlands,CARTOONITO,2,CARTOONITO .c,Ulusal,NL,Netherlands,,,,,,,,,,,,,,,,,
Netherlands,DISCOVERY WORLD,2,DISCOVERY WORLD .c,Belgesel,NL,Netherlands,https://i.imgur.com/yNFmUkE.png,iptv-org-exact,1.100,DiscoveryWorld.us,Discovery World,US,United States,entertainment,http://www.latam.discovery.com/,,,,,,,,
Netherlands,DUCK TV,2,DUCK TV .c,Cocuk,NL,Netherlands,,,,,,,,,,,,,,,,,
Netherlands,EUROSPORT 1,2,EUROSPORT 1 .c,Spor,NL,Netherlands,,,,,,,,,,,,,,,,,
Netherlands,EUROSPORT 2,2,EUROSPORT 2 .c,Spor,NL,Netherlands,,,,,,,,,,,,,,,,,
Netherlands,MEZZO,2,MEZZO .c,Muzik,NL,Netherlands,,,,,,,,,,,,,,,,,
Netherlands,MTV,2,MTV .c,Muzik,NL,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/MTV_2021_%28brand_version%29.svg/960px-MTV_2021_%28brand_version%29.svg.png,iptv-org-exact,1.100,MTV.fi,MTV,FI,Finland,entertainment,http://www.musictelevision.fi/,,,,,,,,
Netherlands,MTV HITS,2,MTV HITS .c,Muzik,NL,Netherlands,,,,,,,,,,,,,,,,,
Netherlands,NAT GEO,2,NAT GEO .c,Belgesel,NL,Netherlands,,,,,,,,,,,,,,,,,
Netherlands,NPO POLITIEK,2,NPO POLITIEK .c,Ulusal,NL,Netherlands,,,,,,,,,,,,,,,,,
Netherlands,OMROEP WEST,2,OMROEP WEST .c,Ulusal,NL,Netherlands,https://i.imgur.com/5IDb9fk.png,iptv-org-exact,1.100,OmroepWest.nl,Omroep West,NL,Netherlands,,https://www.omroepwest.nl/,,,,,,,,
Netherlands,RTV ARNHEM,2,RTV ARNHEM .c,Ulusal,NL,Netherlands,,iptv-org-exact,1.100,RTVArnhemTV.nl,RTV Arnhem TV,NL,Netherlands,,,,,,,,,,
Netherlands,RTV DRENTHE,2,RTV DRENTHE .c,Ulusal,NL,Netherlands,https://i.imgur.com/UBQCjnG.png,iptv-org-exact,1.100,RTVDrenthe.nl,RTV Drenthe,NL,Netherlands,,https://www.rtvdrenthe.nl/,,,,,,,,
Netherlands,RTV MAASTRICHT,2,RTV MAASTRICHT .c,Ulusal,NL,Netherlands,https://i.imgur.com/nYl8H2e.png,iptv-org-exact,1.100,RTVMaastricht.nl,RTV Maastricht,NL,Netherlands,,,,,,,,,,
Netherlands,RTV PURMEREND,2,RTV PURMEREND .c,Ulusal,NL,Netherlands,https://i.imgur.com/dLKSpqz.png,iptv-org-exact,1.100,RTVPurmerend.nl,RTV Purmerend,NL,Netherlands,,https://rtvpurmerend.nl/,,,,,,,,
Netherlands,RTV UTRECHT,2,RTV UTRECHT .c,Ulusal,NL,Netherlands,https://i.imgur.com/nrvs30l.png,iptv-org-exact,1.100,RTVUtrecht.nl,RTV Utrecht,NL,Netherlands,,,,,,,,,,
Netherlands,TLC,2,TLC .c,Yasam,NL,Netherlands,https://i.imgur.com/UdLeLar.jpg,iptv-org-exact,1.100,TelevisionLocaleduCholetais.fr,Television Locale du Choletais,FR,France,general,http://www.tlc-cholet.fr/,,,,,,,,
Netherlands,TV 538,2,TV 538 .c,Ulusal,NL,Netherlands,https://upload.wikimedia.org/wikipedia/commons/7/7a/TV-538-RGB_new.png,iptv-org-exact,1.100,TV538.nl,TV 538,NL,Netherlands,,http://www.tv538.nl/,,,,,,,,
Netherlands,TV ORANJE,2,TV ORANJE .c,Ulusal,NL,Netherlands,https://i.imgur.com/4EQIm6x.png,iptv-org-exact,1.100,TVOranje.nl,TV Oranje,NL,Netherlands,,https://www.tvoranje.nl/,,,,,,,,
Netherlands,VERONICA DISNEY XD,2,VERONICA / DISNEY XD .c,Cocuk,NL,Netherlands,,,,,,,,,,,,,,,,,
Netherlands,ZIGGO SPORT SELECT,2,ZIGGO SPORT SELECT .c,Spor,NL,Netherlands,,,,,,,,,,,,,,,,,
Netherlands,100%,1,100% .c,Ulusal,NL,Netherlands,,,,,,,,,,,,,,,,,
Netherlands,CURIOSITY CHANNEL,1,CURIOSITY CHANNEL .c,Ulusal,NL,Netherlands,,,,,,,,,,,,,,,,,
Netherlands,DANCE TRIPPIN,1,DANCE TRIPPIN .s,Ulusal,NL,Netherlands,,,,,,,,,,,,,,,,,
Netherlands,DAZN SOPORT 3,1,DAZN SOPORT 3 HD .s,Spor,NL,Netherlands,,,,,,,,,,,,,,,,,
