source_group,clean_name,occurrences,sample_raw_name,suggested_category,suggested_country_code,suggested_country_name,suggested_logo_url,match_reason,match_score,matched_id,matched_name,matched_country,matched_country_name,matched_categories,matched_website,override_category,override_country_code,override_logo_url,override_tvg_id,override_matched_name,override_matched_country,override_website,notes
Poland,AXN,3,AXN .b,Film,PL,Poland,,,,,,,,,,,,,,,,,
Poland,EUROSPORT 1,3,EUROSPORT 1 .b,Spor,PL,Poland,,,,,,,,,,,,,,,,,
Poland,EUROSPORT 2,3,EUROSPORT 2 .b,Spor,PL,Poland,,,,,,,,,,,,,,,,,
Poland,GOLF CHANNEL,3,GOLF CHANNEL .b,Spor,PL,Poland,,,,,,,,,,,,,,,,,
Poland,AMC,2,AMC .b,Film,PL,Poland,,,,,,,,,,,,,,,,,
Poland,BOOMERANG,2,BOOMERANG .c,Cocuk,PL,Poland,,,,,,,,,,,,,,,,,
Poland,CANAL PLUS SPORT 3,2,CANAL+ SPORT 3 .b,Spor,PL,Poland,https://i.imgur.com/rveZPpn.png,iptv-org-exact,1.100,TV4SportLive1.se,TV4 Sport Live 1,SE,Sweden,,http://www.cmore.se/,,,,,,,,
Poland,CINEMAX,2,CINEMAX .c,Film,PL,Poland,,,,,,,,,,,,,,,,,
Poland,CINEMAX 2,2,CINEMAX 2 .c,Film,PL,Poland,,,,,,,,,,,,,,,,,
Poland,FIGHTBOX,2,FIGHTBOX .c,Ulusal,PL,Poland,,,,,,,,,,,,,,,,,
Poland,HBO,2,HBO .c,Film,PL,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Logohboplus2019.svg/960px-Logohboplus2019.svg.png,iptv-org-exact,1.100,HBOPlus.br,HBO+,BR,Brazil,,https://www.hbobrasil.com/,,,,,,,,
Poland,METRO,2,METRO .b,Ulusal,PL,Poland,https://i.imgur.com/D4nRp62.png,iptv-org-exact,1.100,Metro.ar,Metro,AR,Argentina,,,,,,,,,,
Poland,POLO TV,2,POLO TV .b,Ulusal,PL,Poland,https://i.imgur.com/GEJZjRB.png,iptv-org-exact,1.100,PoloTV.pl,Polo TV,PL,Poland,,https://www.polotv.pl/,,,,,,,,
Poland,POLSAT CAFE,2,POLSAT CAFE .c,Ulusal,PL,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Polsat_Caf%C3%A9_2021_gradient.svg/500px-Polsat_Caf%C3%A9_2021_gradient.svg.png,iptv-org-exact,1.100,PolsatCafe.pl,Polsat Cafe,PL,Poland,,http://www.polsatcafe.pl/,,,,,,,,
Poland,POLSAT DOKU,2,POLSAT DOKU .c,Ulusal,PL,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Polsat_Doku_2021_gradient.svg/500px-Polsat_Doku_2021_gradient.svg.png,iptv-org-exact,1.100,PolsatDoku.pl,Polsat Doku,PL,Poland,,https://www.polsat.pl/,,,,,,,,
Poland,POLSAT GAMES,2,POLSAT GAMES .b,Ulusal,PL,Poland,https://i.imgur.com/OSCrBvh.png,iptv-org-exact,1.100,PolsatGames.pl,Polsat Games,PL,Poland,,,,,,,,,,
Poland,POLSAT PLAY,2,POLSAT PLAY .c,Ulusal,PL,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Polsat_Play_2021_gradient.svg/500px-Polsat_Play_2021_gradient.svg.png,iptv-org-exact,1.100,PolsatPlay.pl,Polsat Play,PL,Poland,,http://www.polsatplay.pl/,,,,,,,,
Poland,POLSAT RODZINA,2,POLSAT RODZINA .b,Ulusal,PL,Poland,https://i.imgur.com/IS0AW48.png,iptv-org-exact,1.100,PolsatRodzina.pl,Polsat Rodzina,PL,Poland,,https://www.polsat.pl/,,,,,,,,
Poland,PULS 2,2,PULS 2 .b,Ulusal,PL,Poland,https://i.imgur.com/EOnzPiZ.png,iptv-org-exact,1.100,Puls2.pl,Puls 2,PL,Poland,,https://puls2.pl/,,,,,,,,
Poland,STARS TV,2,STARS TV .c,Ulusal,PL,Poland,https://i.imgur.com/NdITPCk.png,iptv-org-exact,1.100,StarsTV.pl,Stars TV,PL,Poland,,http://starstv.eu/,,,,,,,,
