source_group,clean_name,occurrences,sample_raw_name,suggested_category,suggested_country_code,suggested_country_name,suggested_logo_url,match_reason,match_score,matched_id,matched_name,matched_country,matched_country_name,matched_categories,matched_website,override_category,override_country_code,override_logo_url,override_tvg_id,override_matched_name,override_matched_country,override_website,notes
Portugal,EUROSPORT 1,3,EUROSPORT 1 .b,Spor,PT,Portugal,,,,,,,,,,,,,,,,,
Portugal,24 KITCHEN,2,24 KITCHEN .c,Yasam,PT,Portugal,,,,,,,,,,,,,,,,,
Portugal,AMC,2,AMC .c,Film,PT,Portugal,,,,,,,,,,,,,,,,,
Portugal,BABY TV,2,BABY TV .b,Cocuk,PT,Portugal,,,,,,,,,,,,,,,,,
Portugal,BENFICA TV,2,BENFICA TV .b,Ulusal,PT,Portugal,https://i.imgur.com/l6LACto.png,iptv-org-exact,1.100,BenficaTV.pt,Benfica TV,PT,Portugal,,https://btvonline.nos.pt/,,,,,,,,
Portugal,EUROSPORT 2,2,EUROSPORT 2 .b,Spor,PT,Portugal,,,,,,,,,,,,,,,,,
Portugal,FUEL TV,2,FUEL TV .b,Ulusal,PT,Portugal,,,,,,,,,,,,,,,,,
Portugal,HOLLYWOOD,2,HOLLYWOOD .c,Ulusal,PT,Portugal,,,,,,,,,,,,,,,,,
Portugal,KOMBAT SPORT,2,KOMBAT SPORT .b,Spor,PT,Portugal,,,,,,,,,,,,,,,,,
Portugal,MCM POP,2,MCM POP .b,Muzik,PT,Portugal,,,,,,,,,,,,,,,,,
Portugal,MTV PORTUGAL,2,MTV PORTUGAL .b,Muzik,PT,Portugal,,,,,,,,,,,,,,,,,
Portugal,SIC,2,SIC .c,Ulusal,PT,Portugal,https://i.imgur.com/mHxQyB2.png,iptv-org-exact,1.100,SICTV.br,SIC TV,BR,Brazil,,,,,,,,,,
Portugal,SIC CARAS,2,SIC CARAS .b,Ulusal,PT,Portugal,https://i.imgur.com/di3sIto.png,iptv-org-exact,1.100,SICCaras.pt,SIC Caras,PT,Portugal,,https://siccaras.pt/,,,,,,,,
Portugal,SIC K,2,SIC K .b,Ulusal,PT,Portugal,https://i.imgur.com/ypTCVsB.png,iptv-org-exact,1.100,SICK.pt,SIC K,PT,Portugal,,https://sickapa.pt/,,,,,,,,
Portugal,SIC MULHER,2,SIC MULHER .b,Ulusal,PT,Portugal,https://upload.wikimedia.org/wikipedia/en/c/c4/Sicmulher.png,iptv-org-exact,1.100,SICMulher.pt,SIC Mulher,PT,Portugal,,https://sicmulher.pt/,,,,,,,,
