source_group,clean_name,occurrences,sample_raw_name,suggested_category,suggested_country_code,suggested_country_name,suggested_logo_url,match_reason,match_score,matched_id,matched_name,matched_country,matched_country_name,matched_categories,matched_website,override_category,override_country_code,override_logo_url,override_tvg_id,override_matched_name,override_matched_country,override_website,notes
Romania,AMC,2,AMC .b,Film,RO,Romania,,,,,,,,,,,,,,,,,
Romania,AXN,2,AXN .s,Film,RO,Romania,,,,,,,,,,,,,,,,,
Romania,AXN SPIN,2,AXN SPIN .b,Film,RO,Romania,,,,,,,,,,,,,,,,,
Romania,BOOMERANG,2,BOOMERANG .b,Cocuk,RO,Romania,,,,,,,,,,,,,,,,,
Romania,CINEMAX,2,CINEMAX .s,Film,RO,Romania,,,,,,,,,,,,,,,,,
Romania,CINEMAX 2,2,CINEMAX 2 .s,Film,RO,Romania,,,,,,,,,,,,,,,,,
Romania,DIGI LIFE,2,DIGI LIFE .s,Yasam,RO,Romania,https://i.imgur.com/YhKpUkd.png,iptv-org-exact,1.100,DigiLife.hu,Digi Life,HU,Hungary,,https://www.digilife.hu/,,,,,,,,
Romania,DISCOVERY CHANNEL,2,DISCOVERY CHANNEL .s,Belgesel,RO,Romania,https://i.imgur.com/bZpe8af.png,iptv-org-exact,1.100,Discovery.de,Discovery,DE,Germany,entertainment,,,,,,,,,
Romania,DOCUBOX,2,DOCUBOX .s,Ulusal,RO,Romania,,,,,,,,,,,,,,,,,
Romania,DUCK TV,2,DUCK TV .b,Cocuk,RO,Romania,,,,,,,,,,,,,,,,,
Romania,E! ENTERTAINMENT,2,E! ENTERTAINMENT .s,Ulusal,RO,Romania,,,,,,,,,,,,,,,,,
Romania,EUROSPORT 1,2,EUROSPORT 1 .s,Spor,RO,Romania,,,,,,,,,,,,,,,,,
Romania,EUROSPORT 2,2,EUROSPORT 2 .s,Spor,RO,Romania,,,,,,,,,,,,,,,,,
Romania,FILM CAFE,2,FILM CAFE .b,Film,RO,Romania,,,,,,,,,,,,,,,,,
Romania,MINIMAX,2,MINIMAX .b,Ulusal,RO,Romania,,,,,,,,,,,,,,,,,
Romania,PRO TV,2,PRO TV .s,Ulusal,RO,Romania,https://i.imgur.com/vfr1ZYw.png,iptv-org-exact,1.100,PROTVInternational.ro,PRO TV International,RO,Romania,,http://www.protv.ro/,,,,,,,,
Romania,PRO TV INTERNATIONAL,2,PRO TV INTERNATIONAL .b,Ulusal,RO,Romania,https://i.imgur.com/vfr1ZYw.png,iptv-org-exact,1.100,PROTVInternational.ro,PRO TV International,RO,Romania,,http://www.protv.ro/,,,,,,,,
