source_group,clean_name,occurrences,sample_raw_name,suggested_category,suggested_country_code,suggested_country_name,suggested_logo_url,match_reason,match_score,matched_id,matched_name,matched_country,matched_country_name,matched_categories,matched_website,override_category,override_country_code,override_logo_url,override_tvg_id,override_matched_name,override_matched_country,override_website,notes
Russia,,92,АВТО ПЛЮС .b,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,!,10,ЖИВИ! .b,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,HD,8,ГЛАЗАМИ ТУРИСТА HD .b,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,CGTN,2,CGTN РУССКИЙ .s,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,DISCOVERY CHANNEL,2,DISCOVERY CHANNEL .s,Belgesel,RU,Russia,https://i.imgur.com/bZpe8af.png,iptv-org-exact,1.100,Discovery.de,Discovery,DE,Germany,entertainment,,,,,,,,,
Russia,EURONEWS,2,EURONEWS .b,Haber,RU,Russia,,,,,,,,,,,,,,,,,
Russia,EUROSPORT 2,2,EUROSPORT 2 .s,Spor,RU,Russia,,,,,,,,,,,,,,,,,
Russia,LIFE,2,HD LIFE .s,Yasam,RU,Russia,https://i.imgur.com/iz9qHZk.png,iptv-org-exact,1.100,LifeTV.ci,Life TV,CI,Ivory Coast,general,https://www.lifetv.ci/,,,,,,,,
Russia,MEGAHIT,2,MEGAHIT .s,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,MTV,2,MTV .b,Muzik,RU,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/MTV_2021_%28brand_version%29.svg/960px-MTV_2021_%28brand_version%29.svg.png,iptv-org-exact,1.100,MTV.fi,MTV,FI,Finland,entertainment,http://www.musictelevision.fi/,,,,,,,,
Russia,PARAMOUNT CHANNEL,2,PARAMOUNT CHANNEL .b,Film,RU,Russia,,,,,,,,,,,,,,,,,
Russia,PLUS 2,2,НТВ +2 .b,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,PLUS 6,2,НТВ +6 .b,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,TLC,2,TLC .s,Yasam,RU,Russia,https://i.imgur.com/UdLeLar.jpg,iptv-org-exact,1.100,TelevisionLocaleduCholetais.fr,Television Locale du Choletais,FR,France,general,http://www.tlc-cholet.fr/,,,,,,,,
Russia,TRAVEL CHANNEL,2,TRAVEL CHANNEL .s,Belgesel,RU,Russia,,,,,,,,,,,,,,,,,
Russia,TV 1000 ACTION,2,TV 1000 ACTION .s,Film,RU,Russia,,,,,,,,,,,,,,,,,
Russia,ZEE TV,2,ZEE TV .b,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,! PLUS,1,МАТЧ! HD+ .b,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,1,1,РОССИЯ 1 HD .b,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,1 PLUS 4,1,РОССИЯ 1 +4 .b,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,24 TECHNO,1,24 TECHNO .s,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,2X2 TV,1,2X2 TV .s,Ulusal,RU,Russia,https://www.tvpolsat.info/wp-content/uploads/2023/03/2x2-logo.png,iptv-org-exact,1.100,2x2.pl,2x2,PL,Poland,,,,,,,,,,
Russia,3,1,ТВ‑3 .b,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,365 DENI,1,365 DENI .s,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,4,1,ТНТ4 .b,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,5 KANAL,1,5 KANAL .s,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,8,1,8 КАНАЛ .b,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,A1,1,A1 .b,Ulusal,RU,Russia,,iptv-org-exact,1.100,TelevisionA1.do,Television A1,DO,Dominican Republic,,https://www.televisiona1.com/,,,,,,,,
Russia,ABTO 24,1,ABTO 24 .s,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,AMC,1,AMC .s,Film,RU,Russia,,,,,,,,,,,,,,,,,
Russia,AMEDIA HOME OF HBO,1,AMEDIA HOME OF HBO .s,Film,RU,Russia,,,,,,,,,,,,,,,,,
Russia,ARENATV,1,ARENATV .s,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
Russia,AVTO PLUS,1,AVTO PLUS .s,Ulusal,RU,Russia,,,,,,,,,,,,,,,,,
