source_group,clean_name,occurrences,sample_raw_name,suggested_category,suggested_country_code,suggested_country_name,suggested_logo_url,match_reason,match_score,matched_id,matched_name,matched_country,matched_country_name,matched_categories,matched_website,override_category,override_country_code,override_logo_url,override_tvg_id,override_matched_name,override_matched_country,override_website,notes
Spain,EUROSPORT 1,3,EUROSPORT 1 .b,Spor,ES,Spain,,,,,,,,,,,,,,,,,
Spain,AMC,2,AMC .c,Film,ES,Spain,,,,,,,,,,,,,,,,,
Spain,BABY TV,2,BABY TV .b,Cocuk,ES,Spain,,,,,,,,,,,,,,,,,
Spain,BE MAD,2,BE MAD .c,Ulusal,ES,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Be_Mad_TV.svg/960px-Be_Mad_TV.svg.png,iptv-org-exact,1.100,BeMad.es,Be Mad,ES,Spain,,https://www.bemad.es/,,,,,,,,
Spain,BEIN SPORTS N,2,BEIN SPORTS N .b,Spor,ES,Spain,,,,,,,,,,,,,,,,,
Spain,CALLE 13,2,CALLE 13 .c,Ulusal,ES,Spain,https://upload.wikimedia.org/wikipedia/commons/2/2c/Calle13_logo.svg,iptv-org-exact,1.100,Calle13Universal.es,Calle 13 Universal,ES,Spain,,http://www.calle13universal.es/,,,,,,,,
Spain,CANAL ODISEA,2,CANAL ODISEA .b,Ulusal,ES,Spain,,,,,,,,,,,,,,,,,
Spain,CAZA Y PESCA,2,CAZA Y PESCA .c,Ulusal,ES,Spain,https://i.imgur.com/hXL0Fvj.png,iptv-org-exact,1.100,CazayPesca.es,Caza y Pesca,ES,Spain,,http://www.movistar.es/particulares/movistarplus/deportes,,,,,,,,
Spain,CLAN TVE,2,CLAN TVE .b,Ulusal,ES,Spain,,,,,,,,,,,,,,,,,
Spain,EUROSPORT 2,2,EUROSPORT 2 .b,Spor,ES,Spain,,,,,,,,,,,,,,,,,
Spain,FOX,2,FOX .c,Ulusal,ES,Spain,,,,,,,,,,,,,,,,,
Spain,MTV ESPANA,2,MTV ESPANA .b,Muzik,ES,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/MTV_2021_%28brand_version%29.svg/960px-MTV_2021_%28brand_version%29.svg.png,iptv-org-exact,1.100,MTV.es,MTV,ES,Spain,entertainment,http://www.mtv.es/,,,,,,,,
Spain,SYFY,2,SYFY .c,Film,ES,Spain,https://d2n0069hmnqmmx.cloudfront.net/epgdata/1.0/newchanlogos/100/40/skychb2505.png,iptv-org-exact,1.100,SkySciFi.uk,Sky Sci-Fi,UK,United Kingdom,,https://www.sky.com/,,,,,,,,
Spain,101 TV,1,101 TV .c,Ulusal,ES,Spain,,,,,,,,,,,,,,,,,
