source_group,clean_name,occurrences,sample_raw_name,suggested_category,suggested_country_code,suggested_country_name,suggested_logo_url,match_reason,match_score,matched_id,matched_name,matched_country,matched_country_name,matched_categories,matched_website,override_category,override_country_code,override_logo_url,override_tvg_id,override_matched_name,override_matched_country,override_website,notes
Turkey,TRT 1,9,4K TR: TRT 1 HD .b,Ulusal,TR,Turkey,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/TRT_1_logo_%282021-%29.svg/960px-TRT_1_logo_%282021-%29.svg.png,iptv-org-exact,1.100,TRT1.tr,TRT 1,TR,Turkey,,https://www.trt1.com.tr/,,,,,,,,
Turkey,ATV,8,4K TR: ATV HD .b,Ulusal,TR,Turkey,https://i.imgur.com/HyVUwFC.png,manual,1.100,ATV.tr,ATV,TR,Turkey,,https://www.atv.com.tr/,,,,ATV.tr,,,,
Turkey,SHOW TV,8,4K TR: SHOW TV HD .b,Ulusal,TR,Turkey,https://i.imgur.com/1l7SCCu.png,iptv-org-exact,1.100,ShowTV.tr,Show TV,TR,Turkey,,https://www.showtv.com.tr/,,,,,,,,
Turkey,BEYAZ TV,7,4K TR: BEYAZ TV HD .b,Ulusal,TR,Turkey,https://i.imgur.com/uykIdML.png,iptv-org-exact,1.100,BeyazTV.tr,Beyaz TV,TR,Turkey,,http://www.beyaztv.com.tr/,,,,,,,,
Turkey,KANAL 7,7,4K TR: KANAL 7 HD .b,Eglence,TR,Turkey,https://i.imgur.com/0gq9xOm.png,manual,1.100,Kanal7.tr,Kanal 7,TR,Turkey,,https://www.kanal7.com/,,,,Kanal7.tr,,,,
Turkey,A2,6,4K TR: A2 HD .b,Ulusal,TR,Turkey,https://iatv.tmgrup.com.tr/site/v2/a2tv/i/a2tv-logo.png,manual,1.000,A2TV.tr,A2TV,TR,Turkey,,https://www.atv.com.tr/a2tv,,,,A2TV.tr,,,,
Turkey,NTV,6,4K TR: NTV HD .b,Haber,TR,Turkey,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/NTV_%28Turkey%29_logo.svg/960px-NTV_%28Turkey%29_logo.svg.png,manual,1.100,NTV.tr,NTV,TR,Turkey,general,https://www.ntv.com.tr/,,,,NTV.tr,,,,
Turkey,SPOR SMART,6,4K TR: SPOR SMART .b,Spor,TR,Turkey,https://i.imgur.com/blu6v6P.png,iptv-org-exact,1.100,SporSmart.tr,Spor Smart,TR,Turkey,,https://www.dsmart.com.tr/,,,,,,,,
Turkey,NBA TV,5,4K TR: NBA TV HD .b,Spor,TR,Turkey,,,,,,,,,,,,,,,,,
Turkey,BEIN SPORTS HABER,4,BEIN SPORTS HABER .c,Haber,TR,Turkey,https://i.imgur.com/QWo0x7S.jpg,iptv-org-exact,1.100,beINSportsHaber.tr,beIN Sports Haber,TR,Turkey,sports,https://beinsports.com.tr/,,,,,,,,
Turkey,EKOL TV,4,4K TR: EKOL TV .b,Ulusal,TR,Turkey,,,,,,,,,,,,,,,,,
Turkey,TEVE 2,4,TEVE 2 .c,Ulusal,TR,Turkey,https://i.imgur.com/rsoSLih.png,iptv-org-exact,1.100,tv2.tr,tv2,TR,Turkey,,https://www.tv2.com.tr/,,,,,,,,
Turkey,TRT 2,4,4K TR: TRT 2 HD .b,Ulusal,TR,Turkey,https://i.imgur.com/iOCQdyD.png,iptv-org-exact,1.100,TRT2.tr,TRT 2,TR,Turkey,,https://www.trt2.com.tr/,,,,,,,,
Turkey,TRT AVAZ,4,4K TR: TRT AVAZ .b,Ulusal,TR,Turkey,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/TRT_Avaz_logo.svg/960px-TRT_Avaz_logo.svg.png,iptv-org-exact,1.100,TRTAvaz.tr,TRT Avaz,TR,Turkey,,https://www.trtavaz.com.tr/,,,,,,,,
Turkey,TRT TURK,4,TRT TURK .c,Ulusal,TR,Turkey,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/TRT_T%C3%BCrk_logo.svg/960px-TRT_T%C3%BCrk_logo.svg.png,iptv-org-exact,1.100,TRTTurk.tr,TRT Turk,TR,Turkey,,https://www.trtturk.com.tr/,,,,,,,,
Turkey,ULUSAL KANAL,4,ULUSAL KANAL .b,Ulusal,TR,Turkey,https://i.imgur.com/EwSg612.png,iptv-org-exact,1.100,UlusalKanal.tr,Ulusal Kanal,TR,Turkey,,https://www.ulusal.com.tr/,,,,,,,,
Turkey,24 KITCHEN,3,24 KITCHEN .c,Yasam,TR,Turkey,,,,,,,,,,,,,,,,,
Turkey,BABY TV,3,BABY TV .c,Cocuk,TR,Turkey,,,,,,,,,,,,,,,,,
Turkey,BRT 1,3,BRT 1 .c,Ulusal,TR,Turkey,,,,,,,,,,,,,,,,,
Turkey,BRT 2,3,BRT 2 .c,Ulusal,TR,Turkey,,,,,,,,,,,,,,,,,
Turkey,CNN T RK,3,4K TR: CNN T RK HD .b,Haber,TR,Turkey,,,,,,,,,,,,,,,,,
Turkey,EUROSPORT 1,3,4K TR: EUROSPORT 1 HD .b,Spor,TR,Turkey,,,,,,,,,,,,,,,,,
Turkey,EXXEN TV SPOR 1,3,EXXEN TV SPOR 1 .b,Spor,TR,Turkey,,,,,,,,,,,,,,,,,
Turkey,NTV HABER,3,NTV HABER .s,Haber,TR,Turkey,,,,,,,,,,,,,,,,,
Turkey,POWER TURK,3,4K TR: POWER TURK HD .b,Muzik,TR,Turkey,https://i.imgur.com/9OPoXQG.png,iptv-org-exact,1.100,PowerTurkTV.tr,PowerTurk TV,TR,Turkey,,https://www.powerapp.com.tr/powerturk/,,,,,,,,
Turkey,SAT 7 TURK,3,SAT 7 TURK .b,Ulusal,TR,Turkey,,,,,,,,,,,,,,,,,
Turkey,TABII SPOR,3,TABII SPOR .c,Spor,TR,Turkey,,,,,,,,,,,,,,,,,
Turkey,TABII SPOR 1,3,TABII SPOR 1 .c,Spor,TR,Turkey,,,,,,,,,,,,,,,,,
Turkey,TABII SPOR 2,3,TABII SPOR 2 .c,Spor,TR,Turkey,,,,,,,,,,,,,,,,,
Turkey,TABII SPOR 3,3,TABII SPOR 3 .c,Spor,TR,Turkey,,,,,,,,,,,,,,,,,
Turkey,TABII SPOR 4,3,TABII SPOR 4 .c,Spor,TR,Turkey,,,,,,,,,,,,,,,,,
Turkey,TABII SPOR 5,3,TABII SPOR 5 .c,Spor,TR,Turkey,,,,,,,,,,,,,,,,,
Turkey,TGRT BELGESEL,3,TGRT BELGESEL .b,Belgesel,TR,Turkey,https://i.imgur.com/VwWTnf0.png,iptv-org-exact,1.100,TGRTBelgesel.tr,TGRT Belgesel,TR,Turkey,general,https://www.tgrtbelgesel.com.tr/,,,,,,,,
Turkey,TV 4,3,4K TR: TV 4 .b,Ulusal,TR,Turkey,https://i.imgur.com/QVxJrzS.png,iptv-org-exact,1.100,SVTWorld.se,SVT World,SE,Sweden,,http://www.svt.se/svtworld/,,,,,,,,
Turkey,TV 8 5,3,TV 8.5 .c,Ulusal,TR,Turkey,https://i.imgur.com/QuelSsc.png,iptv-org-exact,1.100,TV85.tr,TV 8.5,TR,Turkey,,,,,,,,,,
Turkey,TVNET,3,4K TR: TVNET HD .b,Ulusal,TR,Turkey,https://i.imgur.com/mQo8yWQ.png,manual,1.100,TVNET.tr,TVNET,TR,Turkey,,https://www.tvnet.com.tr/,,,,TVNET.tr,,,,
Turkey,ULKE TV,3,ÜLKE TV .c,Ulusal,TR,Turkey,https://i.imgur.com/wdWR7Qk.png,iptv-org-exact,1.100,UlkeTV.tr,Ulke TV,TR,Turkey,,https://www.ulketv.com.tr/,,,,,,,,
Turkey,VIZYON 58,3,VIZYON 58 .b,Ulusal,TR,Turkey,https://i.imgur.com/tITBc59.png,iptv-org-exact,1.100,Vizyon58TV.tr,Vizyon 58 TV,TR,Turkey,,http://www.vizyon58.com/,,,,,,,,
