source_group,clean_name,occurrences,sample_raw_name,suggested_category,suggested_country_code,suggested_country_name,suggested_logo_url,match_reason,match_score,matched_id,matched_name,matched_country,matched_country_name,matched_categories,matched_website,override_category,override_country_code,override_logo_url,override_tvg_id,override_matched_name,override_matched_country,override_website,notes
United Kingdom,SKY SPORTS ACTION,4,SKY SPORTS ACTION .b,Film,GB,United Kingdom,https://d2n0069hmnqmmx.cloudfront.net/epgdata/1.0/newchanlogos/512/512/skychb1333.png,iptv-org-exact,1.100,SkySportsNFL.uk,Sky Sports NFL,UK,United Kingdom,sports,https://www.skysports.com/,,,,,,,,
United Kingdom,SKY SPORTS NEWS,4,SKY SPORTS NEWS .b,Haber,GB,United Kingdom,https://d2n0069hmnqmmx.cloudfront.net/epgdata/1.0/newchanlogos/512/512/skychb1314.png,iptv-org-exact,1.100,SkySportsNews.ie,Sky Sports News,IE,Ireland,sports,,,,,,,,,
United Kingdom,CBEEBIES,3,CBEEBIES .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,CHANNEL 4,3,CHANNEL 4 .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,CHANNEL 5,3,CHANNEL 5 .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,EUROSPORT 1,3,EUROSPORT 1 .b,Spor,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,EUROSPORT 2,3,EUROSPORT 2 .b,Spor,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,ITV,3,ITV .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,SKY SPORTS F1 BACKUP,3,SKY SPORTS F1 (BACKUP) .b,Spor,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,STV,3,STV .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,UTV,3,UTV .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,4SEVEN,2,4SEVEN .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,5SELECT,2,5SELECT .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,5STAR,2,5STAR .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,AL JAZEERA,2,AL JAZEERA .s,Haber,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,BBC FOUR,2,BBC FOUR .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,BBC NEWS,2,BBC NEWS .s,Haber,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,BBC TWO,2,BBC TWO .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,BBC TWO WALES,2,BBC TWO WALES .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,BLAZE,2,BLAZE .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,BOOMERANG,2,BOOMERANG .b,Cocuk,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,BT SPORT 2,2,BT SPORT 2 .b,Spor,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,BT SPORT 3,2,BT SPORT 3 .b,Spor,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,CARTOONITO,2,CARTOONITO .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,CBBC,2,CBBC .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,CNN,2,CNN .b,Haber,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,DAVE,2,DAVE .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,DAVE JA VU,2,DAVE JA VU .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,DISCOVERY CHANNEL,2,DISCOVERY CHANNEL .b,Belgesel,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,DISNEY CHANNEL,2,DISNEY CHANNEL .b,Cocuk,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,DISNEY XD,2,DISNEY XD .b,Cocuk,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,DMAX,2,DMAX .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,DRAMA,2,DRAMA .b,Film,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,E4,2,E4 .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
